WISH,d1,d2,d3,d4,cc
FruK,1.294543126,0.318282273,0.549223427,0.431574252,0.304030002
SrlD,1.393357142,0.832484651,0.689299566,1.390700266,1.096867838
IdnD,0.807503903,0.760758654,0.924668655,0.332199931,0.296511168
GlxK,0.895853782,0.704423832,1.184217756,1.398130594,1.847074167
DgoK,1.550314034,0.881559391,0.666771424,0.945528788,0.555851916
UxaC,1.005092767,1.512576242,0.864445877,0.63972748,0.645840648
GalK,0.75755521,0.36002458,0.68270142,1.212690241,0.232746293
Pgl,0.758496057,0.834401381,1.341273321,0.604964643,0.249576995
RhaB,1.076159724,1.068445615,1.143972142,0.78694199,0.721459196
MalQ,0.469789544,0.337711273,0.16923339,0.095913165,0.094972124
SB300,1.104398881,0.949022891,1.078077351,0.779421011,0.727861246
NagZ,0.813905309,0.92616824,0.524630619,0.657857795,0.702653832
XylB,0.980692909,0.867912942,0.805520614,0.559626458,0.440227188
ManA,10.02237067,1.871506319,0.468075317,0.690218225,0.418614186
GudD,0.890492982,0.729554577,0.93930621,0.530893121,0.434764255
GarK,0.916865942,0.926616344,0.790019199,1.020627303,0.854982728
GlpD,0.469539602,0.318267287,0.223752212,0.174368718,0.250784972
AraB,1.51395882,1.148700727,0.806139696,0.639762371,0.526030179
NagB,1.000329027,1.874936797,0.574004118,1.83176089,0.539483044
PfkB,1.077406784,0.591756697,0.360627575,0.440873968,0.514729033
CelF (ChbF),1.047967506,0.942965868,1.114405269,0.556615102,0.336309292
GatD,1.12800353,1.013697286,0.81241419,0.826702797,0.992812471
NagK,1.019053373,1.00739127,0.887433413,0.563723713,0.499994067
Pgm,0.355369829,0.967699843,0.520181277,0.429799519,0.288746074
Pgi,0,NA,NA,NA,NA
Mak,0.98159262,1.046427823,0.815144183,0.637213619,0.842140857
NanK,0.974071307,0.984632114,0.726419789,0.786246427,0.932066353
PfkA,2.908589519,0.255605339,0.270539809,0.035024188,0.135954602
GlpK,1.311903576,0.620570394,0.517417488,0.603478094,0.643338169
TreC,0.894461431,0.972987772,0.900062248,1.004308367,0.810919403
FucK,1.014038361,1.058667597,1.024215524,0.657252863,0.658541103
Rpe,2.914018742,0.985955874,0.194198451,0.224612568,0.268520931
Fbp,0.887276672,1.017627454,0.397908099,1.309495652,0.931899118
TalA,1.02993658,0.873939315,0.866177958,0.846658065,1.195604316
TktA,5.718038854,1.629942955,0.424675548,0.700111968,0.170141725
TalB,1.22422865,1.66162705,5.004843203,2.724642189,2.724871403
PflA,7.724009597,0.811361327,0.335424817,0.056442158,0.419860263
MurQ,0.943021406,0.862903214,0.622737293,0.911282381,0.533266183
Edd,0.723252545,0.528043214,0.672176661,1.390909851,0.617331982
TktB,0.024052168,0.181240694,0.110139289,0.013907426,0.002186952
ppc,0.890006798,0.883004498,0.695439734,0.526405253,0.481375042
GltB,1.223485051,1.075091886,0.782146481,0.701647133,0.664295837
AspA,0.767637453,0.554068838,0.442533582,0.495307388,0.494723909
KdgK,1.772642544,1.313888331,1.894097338,1.340420121,0.916078273
AckA,NA,NA,NA,0.218865248,0
AdhE,2.92096492,0.561702113,0.932406432,3.6459492,4.621378232
AspC,0.941031984,0.622584758,0.977180259,0.99555173,0.50658758
SucB,2.959515205,0.989066041,4.319715245,9.185525886,3.098064669
SucD,1.139621594,1.085243002,0.660021248,2.078271928,1.182471623
GntK,1.214668742,1.093210027,2.268350109,3.210720037,4.910408785
Zwf,1.124864395,0.851781616,1.495598918,1.582263455,0.500320622
Kbl,0.087676679,0.116636681,0.089551479,0.07771456,0.082982592
Eda,4.199371919,0.379385116,0.238555524,0.158957527,0.740006177
PflB,6.329380994,0.857876635,0.183957197,0.286901741,0.934189881
Glk,0.878625566,0.625031777,0.448873093,0.666381996,0.741383737
GlpA,0.80736835,0.686589481,0.479284689,0.482470228,0.338883833
DcuABC,1.765354757,0.649271494,0.245091497,0.134949836,0.254822926
Hyb,0.97177362,0.400041129,0.373013799,0.244762559,0.401079151
FrdA,1.500563041,0.426712752,0.214258707,0.388902113,0.397296358
Gnd,1.117399292,1.002057504,2.71367409,1.625653113,1.166238443
LdhA,0.998622836,1.082755683,0.759754912,0.737607259,0.576192359
PckA,0.80411198,0.324762091,0.749710577,0.468353115,0.314745052
PtsG,1.237451157,1.337047125,1.192502631,0.649426768,0.414342087
RbsK1,0.370772261,0.045180495,0.100501992,0.085581215,0.054035367
Rbsk2,0.878078675,1.251111981,0.756206423,0.982669264,0.55902465
SB300,0.949240666,0.702247277,1.212288371,1.58872504,1.768702758
SB300,1.137913807,0.994609363,1.04472552,0.799865947,0.60745175
SB300,0.949382895,0.966682204,1.02486388,0.66083398,0.677870604
SB300,1.035634117,0.971427589,0.979076577,1,0.712234308
SB300,1.029405135,1,1.043176914,1.685775787,1.293325868
SB300,1.003673484,1.089271368,0.998860535,1.012832935,1.168138381
SB300,0.976092138,1.039589645,1.136782346,1.03302583,0.987394236
SB300,1.058657268,1.131921572,1.002243349,1.528746511,1.503777192
SB300,0.963788014,0.916553351,0.809049817,0.542357573,0.462145618
SB300,1.046459951,1.069622751,1.246956838,0.941306815,0.746492033
SB300,1.025201094,1.061978279,1.295935004,2.556614447,1.030013506
SB300,1.271331268,1.380240975,1.104549901,1.183014461,2.997580622
SB300,0.449643929,0.582871211,0.600819703,21.91875235,3.596566644
TreA,0.995958879,1.025680835,0.913740541,0.568581865,0.780225588
